player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Joe Greene,Joe,Greene,"5'11""",190,R,R,C,NA,1932,1948,"10/17/1911								 (Stone Mountain, GA)","7/19/1989								 (Stone Mountain, GA)"
Claude Grier,Claude,Grier,"6'0""",182,L,L,P,NA,1924,1928,"3/24/1904								 (Catawba County, NC)","3/1/1967								 (Newton, NC)"
Charles Griffin,Charles,Griffin,,,,,P,NA,1887,1887,,
Clarence Griffin,Clarence,Griffin,"5'11""",200,R,R,LF,NA,1933,1935,"8/26/1911								 (Banks County, GA)","2/27/1991								 (Columbus, OH)"
Emerson Griffin,Emerson,Griffin,,,,,RF,NA,1907,1915,"12/7/1881								 (Dover, DE)",
Jack Griffin,Jack,Griffin,,,,,CF,NA,1907,1909,,
Leonard Griffin,Leonard,Griffin,,,,R,SS,NA,1907,1910,"7/1887								 (Columbia, KY)",
Robert Griffin,Robert,Griffin,,,,L,P,NA,1931,1931,,
Roland Griffin,Roland,Griffin,"5'6""",165,,,P,NA,1913,1913,"5/14/1885								 (Columbia, KY)",
Bob Griffith,Bob,Griffith,"5'10""",160,R,R,P,NA,1934,1948,"10/1/1912								 (Liberty, TN)","11/8/1977								 (Indianapolis, IN)"
Grimm,NA,Grimm,,,,,-,NA,1921,1921,,
Gross,NA,Gross,,,,,LF,NA,1922,1922,,
Ben Gross,Ben,Gross,,,,,RF,NA,1887,1887,,
Grove,NA,Grove,,,,,-,NA,1931,1931,,
Marcelino Guerra,Marcelino,Guerra,"5'8""",,R,R,LF,NA,1910,1924,"4/6/1890								 (Unión de Reyes, Cuba)",
Gumbs,NA,Gumbs,,,,,C,NA,1926,1926,,
Earl Gurley,Earl,Gurley,"5'11""",183,L,L,LF,NA,1922,1932,"8/6/1898								 (Chattanooga, TN)","11/6/1968								 (Buffalo, NY)"
José Gutiérrez,José,Gutiérrez,"5'5""",,,,RF,NA,1926,1926,"1903								 (Havana, Cuba)",
Speedball Hackett,Speedball,Hackett,,,,,P,NA,1927,1928,,
Albert Hackley,Albert,Hackley,,,,,RF,NA,1894,1896,,
José Haddad,José,Haddad,"5'7""",,,R,CF,NA,1931,1931,"1909								 (Santiago de Cuba, Cuba)",
J. B. Hairstone,J. B.,Hairstone,,,,,RF,NA,1920,1922,"4/6/1891								 (Martinsville, VA)","10/1978								 (Baltimore, MD)"
Haley,NA,Haley,,,,R,P,NA,1923,1923,,
Red Haley,Red,Haley,"5'7""",150,L,R,2B,NA,1928,1935,"5/13/1901								 (Cass County, MO)","12/9/1976								 (Sandusky, OH)"
